市区町村,サンプル値A,サンプル値B
さいたま市,113,477
ときがわ町,126,448
ふじみ野市,139,419
三芳町,152,390
三郷市,165,361
上尾市,178,332
上里町,191,303
久喜市,204,274
伊奈町,217,245
入間市,230,216
八潮市,243,187
加須市,256,158
北本市,269,129
吉川市,282,100
吉見町,295,71
和光市,308,742
坂戸市,321,713
宮代町,334,684
寄居町,347,655
富士見市,360,626
小川町,373,597
小鹿野町,386,568
嵐山町,399,539
川口市,412,510
川島町,425,481
川越市,438,452
幸手市,451,423
志木市,464,394
戸田市,477,365
所沢市,490,336
新座市,503,307
日高市,516,278
春日部市,529,249
朝霞市,542,220
本庄市,555,191
杉戸町,568,162
東松山市,581,133
東秩父村,594,104
松伏町,607,75
桶川市,620,746
横瀬町,633,717
毛呂山町,646,688
深谷市,659,659
滑川町,672,630
熊谷市,685,601
狭山市,698,572
白岡市,711,543
皆野町,724,514
神川町,737,485
秩父市,750,456
美里町,763,427
羽生市,776,398
草加市,789,369
蓮田市,802,340
蕨市,815,311
行田市,828,282
越生町,841,253
越谷市,854,224
長瀞町,867,195
飯能市,880,166
鳩山町,893,137
鴻巣市,906,108
鶴ヶ島市,919,79
