市区町村,サンプル値A,サンプル値B
三宅町,113,481
三郷町,126,452
上北山村,139,423
上牧町,152,394
下北山村,165,365
下市町,178,336
五條市,191,307
十津川村,204,278
吉野町,217,249
大和郡山市,230,220
大和高田市,243,191
大淀町,256,162
天川村,269,133
天理市,282,104
奈良市,295,75
宇陀市,308,746
安堵町,321,717
山添村,334,688
川上村,347,659
川西町,360,630
平群町,373,601
広陵町,386,572
御所市,399,543
御杖村,412,514
斑鳩町,425,485
明日香村,438,456
曽爾村,451,427
東吉野村,464,398
桜井市,477,369
橿原市,490,340
河合町,503,311
王寺町,516,282
生駒市,529,253
田原本町,542,224
葛城市,555,195
野迫川村,568,166
香芝市,581,137
高取町,594,108
黒滝村,607,79
