市区町村,サンプル値A,サンプル値B
いわき市,113,361
三島町,126,332
三春町,139,303
下郷町,152,274
中島村,165,245
二本松市,178,216
伊達市,191,187
会津坂下町,204,158
会津美里町,217,129
会津若松市,230,100
北塩原村,243,71
南会津町,256,742
南相馬市,269,713
双葉町,282,684
古殿町,295,655
只見町,308,626
喜多方市,321,597
国見町,334,568
塙町,347,539
大熊町,360,510
大玉村,373,481
天栄村,386,452
富岡町,399,423
小野町,412,394
川俣町,425,365
川内村,438,336
平田村,451,307
広野町,464,278
新地町,477,249
昭和村,490,220
本宮市,503,191
柳津町,516,162
桑折町,529,133
棚倉町,542,104
楢葉町,555,75
檜枝岐村,568,746
泉崎村,581,717
浅川町,594,688
浪江町,607,659
湯川村,620,630
猪苗代町,633,601
玉川村,646,572
田村市,659,543
白河市,672,514
相馬市,685,485
矢吹町,698,456
矢祭町,711,427
石川町,724,398
磐梯町,737,369
福島市,750,340
葛尾村,763,311
西会津町,776,282
西郷村,789,253
郡山市,802,224
金山町,815,195
鏡石町,828,166
須賀川市,841,137
飯舘村,854,108
鮫川村,867,79
