市区町村,サンプル値A,サンプル値B
七宗町,113,568
下呂市,126,539
中津川市,139,510
八百津町,152,481
北方町,165,452
可児市,178,423
各務原市,191,394
土岐市,204,365
坂祝町,217,336
垂井町,230,307
多治見市,243,278
大垣市,256,249
大野町,269,220
安八町,282,191
富加町,295,162
山県市,308,133
岐南町,321,104
岐阜市,334,75
川辺町,347,746
御嵩町,360,717
恵那市,373,688
揖斐川町,386,659
本巣市,399,630
東白川村,412,601
池田町,425,572
海津市,438,543
瑞浪市,451,514
瑞穂市,464,485
白川村,477,456
白川町,490,427
神戸町,503,398
笠松町,516,369
美濃加茂市,529,340
美濃市,542,311
羽島市,555,282
輪之内町,568,253
郡上市,581,224
関ケ原町,594,195
関市,607,166
飛騨市,620,137
養老町,633,108
高山市,646,79
