市区町村,サンプル値A,サンプル値B
あま市,113,245
みよし市,126,216
一宮市,139,187
刈谷市,152,158
北名古屋市,165,129
半田市,178,100
南知多町,191,71
名古屋市,204,742
大口町,217,713
大府市,230,684
大治町,243,655
安城市,256,626
小牧市,269,597
尾張旭市,282,568
岡崎市,295,539
岩倉市,308,510
常滑市,321,481
幸田町,334,452
弥富市,347,423
愛西市,360,394
所属未定地,373,365
扶桑町,386,336
新城市,399,307
日進市,412,278
春日井市,425,249
東栄町,438,220
東浦町,451,191
東海市,464,162
東郷町,477,133
武豊町,490,104
江南市,503,75
津島市,516,746
清須市,529,717
瀬戸市,542,688
犬山市,555,659
田原市,568,630
知多市,581,601
知立市,594,572
碧南市,607,543
稲沢市,620,514
美浜町,633,485
蒲郡市,646,456
蟹江町,659,427
西尾市,672,398
設楽町,685,369
豊山町,698,340
豊川市,711,311
豊明市,724,282
豊根村,737,253
豊橋市,750,224
豊田市,763,195
長久手市,776,166
阿久比町,789,137
飛島村,802,108
高浜市,815,79
