市区町村,サンプル値A,サンプル値B
うるま市,113,568
与那原町,126,539
与那国町,139,510
中城村,152,481
久米島町,165,452
今帰仁村,178,423
伊平屋村,191,394
伊是名村,204,365
伊江村,217,336
八重瀬町,230,307
北中城村,243,278
北大東村,256,249
北谷町,269,220
南城市,282,191
南大東村,295,162
南風原町,308,133
名護市,321,104
嘉手納町,334,75
国頭村,347,746
多良間村,360,717
大宜味村,373,688
宜野座村,386,659
宜野湾市,399,630
宮古島市,412,601
座間味村,425,572
恩納村,438,543
所属未定地,451,514
本部町,464,485
東村,477,456
沖縄市,490,427
浦添市,503,398
渡名喜村,516,369
渡嘉敷村,529,340
石垣市,542,311
竹富町,555,282
粟国村,568,253
糸満市,581,224
西原町,594,195
読谷村,607,166
豊見城市,620,137
那覇市,633,108
金武町,646,79
