市区町村,サンプル値A,サンプル値B
交野市,113,597
八尾市,126,568
千早赤阪村,139,539
吹田市,152,510
和泉市,165,481
四條畷市,178,452
堺市,191,423
大東市,204,394
大阪市,217,365
大阪狭山市,230,336
太子町,243,307
守口市,256,278
富田林市,269,249
寝屋川市,282,220
岬町,295,191
岸和田市,308,162
島本町,321,133
忠岡町,334,104
摂津市,347,75
東大阪市,360,746
松原市,373,717
枚方市,386,688
柏原市,399,659
池田市,412,630
河内長野市,425,601
河南町,438,572
泉佐野市,451,543
泉南市,464,514
泉大津市,477,485
熊取町,490,456
田尻町,503,427
箕面市,516,398
羽曳野市,529,369
能勢町,542,340
茨木市,555,311
藤井寺市,568,282
豊中市,581,253
豊能町,594,224
貝塚市,607,195
門真市,620,166
阪南市,633,137
高槻市,646,108
高石市,659,79
