市区町村,サンプル値A,サンプル値B
あきる野市,113,477
三宅村,126,448
三鷹市,139,419
世田谷区,152,390
中央区,165,361
中野区,178,332
八丈町,191,303
八王子市,204,274
利島村,217,245
北区,230,216
千代田区,243,187
台東区,256,158
品川区,269,129
国分寺市,282,100
国立市,295,71
墨田区,308,742
多摩市,321,713
大島町,334,684
大田区,347,655
奥多摩町,360,626
小平市,373,597
小笠原村,386,568
小金井市,399,539
府中市,412,510
御蔵島村,425,481
所属未定地,438,452
文京区,451,423
新宿区,464,394
新島村,477,365
日の出町,490,336
日野市,503,307
昭島市,516,278
杉並区,529,249
東久留米市,542,220
東大和市,555,191
東村山市,568,162
板橋区,581,133
檜原村,594,104
武蔵村山市,607,75
武蔵野市,620,746
江戸川区,633,717
江東区,646,688
清瀬市,659,659
渋谷区,672,630
港区,685,601
狛江市,698,572
瑞穂町,711,543
町田市,724,514
目黒区,737,485
神津島村,750,456
福生市,763,427
稲城市,776,398
立川市,789,369
練馬区,802,340
羽村市,815,311
荒川区,828,282
葛飾区,841,253
西東京市,854,224
調布市,867,195
豊島区,880,166
足立区,893,137
青ヶ島村,906,108
青梅市,919,79
