市区町村,サンプル値A,サンプル値B
たつの市,113,539
三木市,126,510
三田市,139,481
上郡町,152,452
丹波市,165,423
丹波篠山市,178,394
伊丹市,191,365
佐用町,204,336
加古川市,217,307
加東市,230,278
加西市,243,249
南あわじ市,256,220
多可町,269,191
太子町,282,162
姫路市,295,133
宍粟市,308,104
宝塚市,321,75
小野市,334,746
尼崎市,347,717
川西市,360,688
市川町,373,659
播磨町,386,630
新温泉町,399,601
明石市,412,572
朝来市,425,543
洲本市,438,514
淡路市,451,485
猪名川町,464,456
相生市,477,427
神戸市,490,398
神河町,503,369
福崎町,516,340
稲美町,529,311
芦屋市,542,282
西宮市,555,253
西脇市,568,224
豊岡市,581,195
赤穂市,594,166
養父市,607,137
香美町,620,108
高砂市,633,79
