市区町村,サンプル値A,サンプル値B
あさぎり町,113,655
上天草市,126,626
五木村,139,597
人吉市,152,568
八代市,165,539
南小国町,178,510
南関町,191,481
南阿蘇村,204,452
合志市,217,423
和水町,230,394
嘉島町,243,365
多良木町,256,336
大津町,269,307
天草市,282,278
宇土市,295,249
宇城市,308,220
小国町,321,191
山江村,334,162
山都町,347,133
山鹿市,360,104
御船町,373,75
水上村,386,746
水俣市,399,717
氷川町,412,688
津奈木町,425,659
湯前町,438,630
熊本市,451,601
玉名市,464,572
玉東町,477,543
球磨村,490,514
産山村,503,485
甲佐町,516,456
益城町,529,427
相良村,542,398
美里町,555,369
芦北町,568,340
苓北町,581,311
荒尾市,594,282
菊池市,607,253
菊陽町,620,224
西原村,633,195
錦町,646,166
長洲町,659,137
阿蘇市,672,108
高森町,685,79
