市区町村,サンプル値A,サンプル値B
いちき串木野市,113,626
さつま町,126,597
三島村,139,568
与論町,152,539
中種子町,165,510
伊仙町,178,481
伊佐市,191,452
出水市,204,423
十島村,217,394
南さつま市,230,365
南九州市,243,336
南大隅町,256,307
南種子町,269,278
和泊町,282,249
喜界町,295,220
垂水市,308,191
大和村,321,162
大崎町,334,133
天城町,347,104
奄美市,360,75
姶良市,373,746
宇検村,386,717
屋久島町,399,688
徳之島町,412,659
志布志市,425,630
所属未定地,438,601
指宿市,451,572
日置市,464,543
曽於市,477,514
東串良町,490,485
枕崎市,503,456
湧水町,516,427
瀬戸内町,529,398
知名町,542,369
肝付町,555,340
薩摩川内市,568,311
西之表市,581,282
錦江町,594,253
長島町,607,224
阿久根市,620,195
霧島市,633,166
鹿児島市,646,137
鹿屋市,659,108
龍郷町,672,79
