市区町村,サンプル値A,サンプル値B
いすみ市,113,245
一宮町,126,216
九十九里町,139,187
佐倉市,152,158
八千代市,165,129
八街市,178,100
勝浦市,191,71
匝瑳市,204,742
千葉市,217,713
南房総市,230,684
印西市,243,655
君津市,256,626
四街道市,269,597
多古町,282,568
大多喜町,295,539
大網白里市,308,510
富津市,321,481
富里市,334,452
山武市,347,423
市原市,360,394
市川市,373,365
御宿町,386,336
成田市,399,307
我孫子市,412,278
所属未定地,425,249
旭市,438,220
木更津市,451,191
東庄町,464,162
東金市,477,133
松戸市,490,104
柏市,503,75
栄町,516,746
横芝光町,529,717
流山市,542,688
浦安市,555,659
白井市,568,630
白子町,581,601
睦沢町,594,572
神崎町,607,543
習志野市,620,514
船橋市,633,485
芝山町,646,456
茂原市,659,427
袖ケ浦市,672,398
酒々井町,685,369
野田市,698,340
銚子市,711,311
鋸南町,724,282
鎌ケ谷市,737,253
長南町,750,224
長柄町,763,195
長生村,776,166
館山市,789,137
香取市,802,108
鴨川市,815,79
