市区町村,サンプル値A,サンプル値B
おいらせ町,113,510
つがる市,126,481
むつ市,139,452
七戸町,152,423
三戸町,165,394
三沢市,178,365
中泊町,191,336
五戸町,204,307
五所川原市,217,278
今別町,230,249
佐井村,243,220
八戸市,256,191
六ヶ所村,269,162
六戸町,282,133
十和田市,295,104
南部町,308,75
外ヶ浜町,321,746
大間町,334,717
大鰐町,347,688
平内町,360,659
平川市,373,630
弘前市,386,601
新郷村,399,572
東北町,412,543
東通村,425,514
板柳町,438,485
横浜町,451,456
深浦町,464,427
田子町,477,398
田舎館村,490,369
蓬田村,503,340
藤崎町,516,311
西目屋村,529,282
野辺地町,542,253
階上町,555,224
青森市,568,195
風間浦村,581,166
鰺ヶ沢町,594,137
鶴田町,607,108
黒石市,620,79
